目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
80,2457,985,1472,2166,889,1277
81,2196,835,1361,1805,689,1116
82,2190,849,1341,1947,731,1216
83,2039,771,1268,2001,788,1213
84,1822,658,1164,2029,750,1279
85～89,6383,2102,4281,7501,2588,4913
85,1627,568,1059,1868,693,1175
86,1356,461,895,1577,529,1048
87,1280,425,855,1494,532,962
88,1140,364,776,1376,455,921
89,980,284,696,1186,379,807
90～94,2880,791,2089,3602,992,2610
90,902,257,645,1028,314,714
91,693,196,497,830,223,607
92,548,151,397,734,186,548
93,416,104,312,572,166,406
94,321,83,238,438,103,335
95～99,700,117,583,958,206,752
95,270,48,222,335,75,260
96,157,24,133,264,60,204
97,120,29,91,144,29,115
98,90,9,81,136,29,107
99,63,7,56,79,13,66
100歳以上,129,13,116,162,22,140
不詳,10389,5788,4601,18364,8452,9912
,,,,,,
（再掲）,,,,,,
15歳未満,26531,13562,12969,29123,14850,14273
15～64歳,223586,117327,106259,231515,121148,110367
65歳以上,67709,28705,39004,65878,28075,37803
年齢別割合（％）,,,,,,
15歳未満,8.3,8.5,8.2,8.9,9.1,8.8
15～64歳,70.3,73.5,67.2,70.9,73.8,67.9
65歳以上,21.3,18,24.6,20.2,17.1,23.3
平均年齢,44.6,43.1,46.1,44.4,43,45.7
年齢中位数,42.4,41.1,43.9,42.5,41.4,43.8
資料　総務省統計局「平成27年国勢調査人口等基本集計」「令和2年国勢調査人口等基本集計」,,,,,,
