目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
36,水道業,4,109,3,22,4,82
G,情報通信業,361,8790,360,8691,492,10833
37,通信業,4,145,4,147,6,146
38,放送業,1,62,2,61,2,57
39,情報サービス業,176,6094,172,6165,236,7804
40,インターネット附随サービス業,22,227,21,214,39,274
41,映像・音声・文字情報制作業,158,2262,160,2103,209,2552
H,運輸業，郵便業,208,4974,184,3966,151,4074
42,鉄道業,18,1014,14,771,14,819
43,道路旅客運送業,75,2123,64,1514,36,1413
44,道路貨物運送業,87,1224,80,1021,80,1119
45,水運業,-,-,-,-,-,-
46,航空運輸業,-,-,-,-,-,-
47,倉庫業,1,1,5,10,6,121
48,運輸に附帯するサービス業,26,250,20,275,14,266
49,郵便業（信書便事業を含む）,1,362,1,375,1,336
I,卸売業，小売業,2805,26350,2638,26906,2384,24653
50,各種商品卸売業,4,15,1,2,3,157
51,繊維・衣服等卸売業,57,435,47,699,54,372
52,飲食料品卸売業,119,1459,117,1278,110,1652
53,建築材料，鉱物・金属材料等卸売業,117,1317,114,1221,120,1204
54,機械器具卸売業,175,4196,171,5571,175,3438
55,その他の卸売業,214,2869,206,2571,193,2039
56,各種商品小売業,3,89,3,88,2,117
57,織物・衣服・身の回り品小売業,308,1712,285,1665,193,941
58,飲食料品小売業,680,7225,643,7358,573,8071
59,機械器具小売業,180,935,159,813,149,823
60,その他の小売業,855,4673,789,4326,680,4138
61,無店舗小売業,93,1425,98,1300,131,1697
J,金融業，保険業,142,5179,129,5989,136,5752
62,銀行業,20,783,19,982,19,798
63,協同組織金融業,24,489,24,610,25,654
64,貸金業，クレジットカード業等非預金信用機関,17,955,11,1398,10,622
65,金融商品取引業，商品先物取引業,13,98,14,85,17,123
66,補助的金融業等,5,840,5,1041,5,655
67,保険業（保険媒介代理業，保険サービス業を含む）,63,2014,56,1873,60,2900
K,不動産業，物品賃貸業,1809,6774,1627,5755,1888,7850
68,不動産取引業,299,1519,290,1542,296,1495
69,不動産賃貸業・管理業,1464,4873,1298,3828,1550,6036
70,物品賃貸業,46,382,38,350,42,319
L,学術研究，専門・技術サービス業,779,6292,749,6366,892,9828
71,学術・開発研究機関,18,143,15,113,12,62
72,専門サービス業（他に分類されないもの）,413,3598,408,3833,537,6438
73,広告業,35,321,38,308,47,367
74,技術サービス業（他に分類されないもの）,313,2230,287,2111,296,2961
M,宿泊業，飲食サービス業,1944,12286,1863,11474,1525,9721
75,宿泊業,29,131,24,147,21,112
76,飲食店,1782,10942,1695,10079,1383,8452
77,持ち帰り・配達飲食サービス業,133,1213,144,1248,121,1157
N,生活関連サービス業，娯楽業,1193,6084,1142,5742,1016,5003
78,洗濯・理容・美容・浴場業,842,2644,814,2422,707,2091
79,その他の生活関連サービス業,153,991,152,1033,125,923
80,娯楽業,198,2449,176,2269,184,1989
O,教育，学習支援業,462,8560,405,6588,396,5940
81,学校教育,115,4574,72,3440,72,3052
82,その他の教育，学習支援業,347,3986,333,3148,324,2888
P,医療，福祉,1206,16833,1172,15219,1207,16477
83,医療業,840,8782,821,7769,770,7879
84,保健衛生,10,108,4,37,7,91
85,社会保険・社会福祉・介護事業,356,7943,345,7397,430,8507
Q,複合サービス事業,31,788,29,683,32,813
86,郵便局,29,692,29,683,30,690
87,協同組合（他に分類されないもの）,2,96,-,-,2,123
R,サービス業（他に分類されないもの）,622,10180,575,10509,664,10730
88,廃棄物処理業,21,701,18,1272,18,637
89,自動車整備業,31,136,30,156,22,120
90,機械等修理業（別掲を除く）,63,412,52,264,46,281
91,職業紹介・労働者派遣業,31,797,28,1003,32,822
92,その他の事業サービス業,272,7033,248,6627,293,7752
93,政治・経済・文化団体,68,394,76,533,115,488
94,宗教,116,383,118,357,130,382
95,その他のサービス業,20,324,3,282,8,248
資料　東京都総務局統計部産業統計課「平成26年経済センサス‐基礎調査報告」,,,,,,,
　　　総務省統計局「平成28年経済センサス-活動調査（産業横断的集計）」「令和3年経済センサス-活動調査（産業横断的集計）」,,,,,,,
