目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
野方一丁目,3325,5231,2724,2507,1.5732330827067669,27531.57894736842,5116,2.2478498827208755
野方二丁目,3087,5107,2700,2407,1.654356980887593,25535,5014,1.8548065416832868
野方三丁目,1631,2537,1319,1218,1.5554874310239117,21141.666666666668,2489,1.9284853354760947
野方四丁目,2240,3432,1734,1698,1.5321428571428573,22880,3375,1.6888888888888887
野方五丁目,1488,2215,1102,1113,1.4885752688172043,20136.363636363636,2228,-0.5834829443447037
野方六丁目,2243,3282,1607,1675,1.4632189032545697,21880,3210,2.2429906542056073
大和町総数,10469,16246,8524,7722,1.551819658038017,22881.690140845072,16026,1.3727692499688007
大和町一丁目,3770,5418,2819,2599,1.4371352785145888,27090,5270,2.808349146110057
大和町二丁目,2069,3171,1699,1472,1.5326244562590623,21140,3156,0.4752851711026616
大和町三丁目,2377,3630,1915,1715,1.5271350441733278,24200,3592,1.0579064587973273
大和町四丁目,2253,4027,2091,1936,1.7873945849977808,19176.190476190477,4008,0.47405189620758487
若宮総数,8296,13059,6562,6497,1.574132111861138,19491.0447761194,12879,1.397624039133473
若宮一丁目,2712,4094,2096,1998,1.5095870206489677,21547.36842105263,3990,2.606516290726817
若宮二丁目,2564,4310,2212,2098,1.6809672386895476,20523.809523809523,4276,0.7951356407857811
若宮三丁目,3020,4655,2254,2401,1.5413907284768211,17240.74074074074,4613,0.9104704097116844
白鷺総数,6710,12389,5971,6418,1.8463487332339792,19982.25806451613,12333,0.4540663261169221
白鷺一丁目,2408,4643,2207,2436,1.928156146179402,21104.545454545456,4553,1.976718647045904
白鷺二丁目,2471,4392,2120,2272,1.7774180493727236,19963.636363636364,4385,0.15963511972633979
白鷺三丁目,1831,3354,1644,1710,1.8317859093391589,18633.333333333336,3395,-1.207658321060383
鷺宮総数,10933,17754,8743,9011,1.6238909722857404,20406.896551724134,17548,1.173922954182813
鷺宮一丁目,1932,2861,1421,1440,1.480848861283644,22007.69230769231,2780,2.9136690647482015
鷺宮二丁目,992,1515,744,771,1.5272177419354838,16833.333333333336,1490,1.6778523489932886
鷺宮三丁目,2663,4054,2044,2010,1.522343221930154,22522.222222222223,3983,1.782575947778057
鷺宮四丁目,2182,3378,1656,1722,1.5481209899175068,16890,3365,0.3863298662704309
鷺宮五丁目,1311,2457,1199,1258,1.874141876430206,22336.363636363636,2387,2.932551319648094
鷺宮六丁目,1853,3489,1679,1810,1.882892606583918,21806.25,3543,-1.5241320914479255
上鷺宮総数,7526,14628,7046,7582,1.943661971830986,16074.725274725275,14612,0.10949904188338351
上鷺宮一丁目,1419,2672,1331,1341,1.8830162085976039,19085.714285714283,2683,-0.40998881848676855
上鷺宮二丁目,1425,2840,1402,1438,1.9929824561403509,13523.809523809525,2825,0.5309734513274336
上鷺宮三丁目,1309,2554,1171,1383,1.951107715813598,18242.85714285714,2535,0.7495069033530571
上鷺宮四丁目,1440,2689,1249,1440,1.867361111111111,19207.142857142855,2704,-0.5547337278106509
上鷺宮五丁目,1933,3873,1893,1980,2.0036213140196586,13832.142857142855,3865,0.2069857697283312
注）　住民基本台帳法の一部改正に伴い，外国人世帯・人口を含む。,,,,,,,,
資料　戸籍住民課,,,,,,,,
