目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128
中野二丁目,287,3968,-,-,-,-,-,-,12,132,7,4,1,3,9,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,222,-,2,4,-,7,3,619,1,-,-,-,-,-,1,1,42,491,-,2,1,-,3,3,-,3,10,2,15,3,10,505,3,2,-,2,-,3,27,118,15,11,1,24,176,1,12,3,8,53,479,2,49,2,33,486,21,2,10,15,201,4,11,34,309,24,-,10,-,-,-,-,18,221,-,-,-,-,9,5,1,2
中野三丁目,376,4705,-,-,-,-,-,-,9,388,3,2,4,10,68,1,-,1,-,1,-,3,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,6,-,-,-,1,13,371,-,-,4,-,9,1,1,-,-,1,-,-,-,-,-,78,716,-,2,4,2,5,3,1,11,21,4,23,2,5,384,1,-,1,1,1,1,55,274,11,43,1,30,107,1,17,2,10,65,563,3,58,4,37,226,26,3,8,16,298,3,13,35,290,25,1,9,1,6,1,-,20,1007,-,1,1,2,14,1,1,-
中野四丁目,225,17305,-,-,-,-,-,-,2,7,1,1,-,10,2979,1,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,15,1846,-,-,10,-,5,3,35,-,-,2,-,-,-,1,-,46,3772,-,-,4,-,8,4,-,4,10,1,12,3,4,2441,-,1,1,-,-,2,16,263,6,8,2,20,403,-,14,-,6,28,549,1,23,4,8,63,3,3,2,18,1820,3,15,17,1599,8,-,9,1,10,1,-,37,1518,-,-,-,-,30,7,-,-
中野五丁目,1077,9897,-,-,-,-,-,-,14,76,1,7,6,9,47,1,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,-,22,628,-,-,13,2,7,7,312,2,-,1,-,-,1,3,-,327,2371,-,-,3,3,5,8,1,89,44,16,153,4,8,177,3,-,1,1,-,3,76,345,30,45,1,38,419,-,25,1,12,382,3195,3,377,2,89,591,42,18,29,19,465,8,11,64,1101,55,-,9,1,8,1,-,21,162,-,-,3,3,9,5,1,-
中野六丁目,63,407,-,-,-,-,-,-,5,45,2,2,1,2,10,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,19,-,-,1,-,-,-,-,-,13,108,-,2,1,1,1,4,-,-,2,-,2,-,-,-,-,-,-,-,-,-,12,31,2,10,-,5,17,-,1,-,4,4,60,-,4,-,7,16,6,1,-,3,43,1,2,6,32,4,-,2,-,-,-,-,4,25,-,1,1,-,-,-,2,-
上高田総数,571,3103,-,-,-,-,-,-,42,224,14,21,7,19,148,2,-,3,1,1,-,6,-,-,-,-,-,-,-,-,1,-,-,1,2,1,-,-,1,-,-,-,-,-,-,9,48,-,-,5,1,3,8,82,2,2,4,-,-,-,-,-,100,668,-,1,4,1,10,7,-,9,34,8,22,4,3,9,-,1,-,1,-,1,78,193,12,65,1,22,77,1,7,-,14,108,413,-,97,11,59,143,42,8,9,24,494,8,16,53,366,40,-,13,2,14,2,-,44,224,1,4,2,-,11,-,25,-
上高田一丁目,116,608,-,-,-,-,-,-,8,63,2,4,2,7,48,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,-,-,-,-,-,17,95,-,-,-,-,2,2,-,-,4,2,6,1,-,-,-,-,-,-,-,-,32,63,1,31,-,2,12,1,1,-,-,10,78,-,7,3,8,22,6,2,-,4,63,3,1,11,95,5,-,6,1,6,1,-,15,57,-,2,-,-,2,-,11,-
上高田二丁目,116,963,-,-,-,-,-,-,4,30,2,1,1,5,69,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,27,-,-,3,-,-,1,33,-,-,1,-,-,-,-,-,29,315,-,1,1,1,2,3,-,4,10,2,5,-,2,7,-,1,-,-,-,1,13,48,1,11,1,6,4,-,2,-,4,10,29,-,10,-,17,25,16,1,-,7,149,2,5,14,129,12,-,2,-,-,-,-,5,88,-,-,1,-,3,-,1,-
上高田三丁目,196,757,-,-,-,-,-,-,10,40,5,4,1,4,23,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,5,16,-,-,2,1,2,1,1,-,1,-,-,-,-,-,-,32,162,-,-,2,-,3,1,-,4,11,2,8,1,-,-,-,-,-,-,-,-,16,42,7,9,-,11,31,-,4,-,7,67,232,-,64,3,23,61,15,1,7,6,37,-,6,16,86,14,-,2,1,8,1,-,4,18,-,-,-,-,2,-,1,-
上高田四丁目,50,321,-,-,-,-,-,-,5,26,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,3,12,1,1,1,-,-,-,-,-,9,59,-,-,1,-,3,-,-,1,3,1,-,-,1,2,-,-,-,1,-,-,3,7,1,2,-,2,15,-,-,-,2,5,17,-,3,2,2,3,1,-,1,4,131,2,2,2,11,1,-,1,-,-,-,-,13,33,-,1,1,-,2,-,9,-
上高田五丁目,93,454,-,-,-,-,-,-,15,65,4,9,2,3,8,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,30,1,-,1,-,-,-,-,-,13,37,-,-,-,-,-,1,-,-,6,1,3,2,-,-,-,-,-,-,-,-,14,33,2,12,-,1,5,-,-,-,1,16,57,-,13,3,9,32,4,4,1,3,114,1,2,10,45,8,-,2,-,-,-,-,7,28,1,1,-,-,2,-,3,-
新井総数,812,6385,-,-,-,-,-,-,64,480,25,24,15,27,272,3,2,7,-,1,-,4,1,-,1,-,1,-,-,-,1,-,-,-,-,1,1,-,4,2,16,-,-,-,2,26,294,1,-,11,2,12,5,193,-,1,3,-,-,1,-,-,191,1312,-,7,11,3,11,15,-,25,46,11,52,10,18,313,2,3,2,-,-,11,86,290,11,74,1,61,234,-,35,1,25,103,443,-,93,10,78,361,61,8,9,27,137,1,26,79,878,53,-,26,1,7,1,-,44,1155,2,2,4,5,16,10,5,-
新井一丁目,332,3015,-,-,-,-,-,-,23,104,10,9,4,7,38,-,1,3,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,9,153,-,-,3,-,6,1,26,-,-,1,-,-,-,-,-,93,500,-,4,5,-,6,3,-,15,19,7,30,4,11,203,1,1,2,-,-,7,27,147,4,23,-,14,80,-,7,-,7,51,210,-,47,4,40,148,35,3,2,7,34,-,7,28,369,21,-,7,1,7,1,-,20,996,2,-,2,4,6,3,3,-
新井二丁目,235,1857,-,-,-,-,-,-,11,151,4,5,2,12,199,2,-,3,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,-,12,103,1,-,5,2,4,3,166,-,1,1,-,-,1,-,-,46,344,-,1,3,-,2,7,-,4,13,2,10,4,5,91,-,1,-,-,-,4,32,80,3,29,-,26,95,-,18,1,7,22,105,-,18,4,17,130,13,2,2,7,44,-,7,30,279,21,-,9,-,-,-,-,12,70,-,1,1,-,5,5,-,-
新井三丁目,52,377,-,-,-,-,-,-,6,20,4,1,1,1,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,-,-,-,2,2,3,-,-,-,-,2,1,1,-,-,1,-,-,-,-,-,7,172,-,-,-,-,-,3,-,1,1,1,-,1,-,-,-,-,-,-,-,-,12,21,2,10,-,3,11,-,2,-,1,4,26,-,3,1,5,12,4,-,1,2,10,1,1,2,38,-,-,2,-,-,-,-,5,42,-,-,-,-,3,2,-,-
新井四丁目,71,404,-,-,-,-,-,-,15,125,4,4,7,5,17,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,104,-,1,1,-,2,2,-,-,5,-,3,1,-,-,-,-,-,-,-,-,6,14,-,6,-,6,13,-,1,-,5,4,11,-,3,1,5,12,3,2,-,5,6,-,5,6,89,1,-,5,-,-,-,-,4,13,-,1,1,-,1,-,1,-
新井五丁目,122,732,-,-,-,-,-,-,9,80,3,5,1,2,13,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,35,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,30,192,-,1,2,3,1,-,-,5,8,1,9,-,2,19,1,1,-,-,-,-,9,28,2,6,1,12,35,-,7,-,5,22,91,-,22,-,11,59,6,1,4,6,43,-,6,13,103,10,-,3,-,-,-,-,3,34,-,-,-,1,1,-,1,-
沼袋総数,481,2862,-,-,-,-,-,-,31,206,14,9,8,9,71,2,-,-,-,1,-,2,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,5,22,-,-,2,1,2,8,116,1,3,3,-,-,-,1,-,106,532,-,1,1,4,5,8,1,14,35,6,30,1,3,58,1,2,-,-,-,-,54,134,9,45,-,25,93,1,18,-,6,97,328,-,93,4,52,199,41,8,3,12,74,2,10,51,616,32,-,19,1,13,1,-,27,400,1,1,-,1,11,3,10,-
沼袋一丁目,156,945,-,-,-,-,-,-,7,44,3,3,1,2,30,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,14,-,-,-,-,1,3,55,1,-,1,-,-,-,1,-,35,126,-,1,1,2,1,3,1,5,11,1,8,1,1,10,-,1,-,-,-,-,13,29,2,11,-,4,9,-,3,-,1,42,127,-,41,1,20,96,18,2,-,3,22,-,3,17,136,14,-,3,-,-,-,-,8,247,-,-,-,1,3,2,2,-
沼袋二丁目,119,728,-,-,-,-,-,-,9,68,1,3,5,4,38,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,6,-,-,2,1,-,3,59,-,1,2,-,-,-,-,-,24,140,-,-,-,-,2,2,-,5,6,1,8,-,-,-,-,-,-,-,-,-,14,27,3,11,-,13,51,-,9,-,4,12,31,-,12,-,12,27,9,2,1,3,13,1,2,12,228,5,-,7,-,-,-,-,10,40,1,1,-,-,1,1,6,-
沼袋三丁目,104,546,-,-,-,-,-,-,6,54,4,1,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,105,-,-,-,1,-,1,-,-,10,2,9,-,1,31,1,-,-,-,-,-,14,32,2,12,-,4,26,-,4,-,-,26,93,-,25,1,8,31,5,2,1,4,18,1,3,11,115,8,-,3,1,13,1,-,5,27,-,-,-,-,3,-,2,-
沼袋四丁目,102,643,-,-,-,-,-,-,9,40,6,2,1,2,2,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,-,-,-,1,2,2,-,2,-,-,-,-,-,-,24,161,-,-,-,1,2,2,-,4,8,2,5,-,1,17,-,1,-,-,-,-,13,46,2,11,-,4,7,1,2,-,1,17,77,-,15,2,12,45,9,2,1,2,21,-,2,11,137,5,-,6,-,-,-,-,4,86,-,-,-,-,4,-,-,-
松が丘総数,172,1503,-,-,-,-,-,-,16,76,3,8,5,6,375,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,6,15,-,-,1,1,4,8,348,-,5,3,-,-,-,-,-,36,190,-,-,2,2,2,3,-,1,10,1,13,2,-,-,-,-,-,-,-,-,21,73,2,18,1,13,65,-,6,-,7,14,46,-,13,1,16,117,11,2,3,7,13,-,7,23,136,18,-,5,-,-,-,-,6,19,-,-,-,-,3,2,1,-
松が丘一丁目,110,685,-,-,-,-,-,-,9,37,2,4,3,3,10,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,7,-,-,1,1,1,4,184,-,3,1,-,-,-,-,-,20,90,-,-,-,-,1,2,-,1,8,1,7,-,-,-,-,-,-,-,-,-,14,55,2,12,-,3,9,-,1,-,2,13,44,-,12,1,14,109,9,2,3,5,9,-,5,19,123,14,-,5,-,-,-,-,3,8,-,-,-,-,2,1,-,-
松が丘二丁目,62,818,-,-,-,-,-,-,7,39,1,4,2,3,365,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,8,-,-,-,-,3,4,194,-,2,2,-,-,-,-,-,16,100,-,-,2,2,1,1,-,-,2,-,6,2,-,-,-,-,-,-,-,-,7,18,-,6,1,10,56,-,5,-,5,1,2,-,1,-,2,8,2,-,-,2,4,-,2,4,13,4,-,-,-,-,-,-,3,11,-,-,-,-,1,1,1,-
江原町総数,211,3651,-,-,-,-,-,-,17,148,5,6,6,8,51,-,-,-,-,-,-,2,-,-,1,1,-,2,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3,93,-,-,1,-,2,8,26,-,6,2,-,-,-,-,-,59,497,-,-,4,6,3,5,-,3,14,9,12,3,4,37,-,-,2,-,-,2,28,75,5,22,1,8,1374,-,3,1,4,19,147,-,15,4,20,44,19,1,-,4,38,-,4,17,251,10,-,7,-,-,-,-,16,870,2,4,-,-,8,-,2,-
江原町一丁目,60,2495,-,-,-,-,-,-,4,46,1,-,3,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,7,25,-,5,2,-,-,-,-,-,19,87,-,-,1,3,1,2,-,2,2,3,2,3,2,32,-,-,1,-,-,1,7,19,-,6,1,3,1363,-,1,1,1,2,14,-,-,2,4,9,4,-,-,2,23,-,2,2,52,1,-,1,-,-,-,-,6,819,1,2,-,-,3,-,-,-
江原町二丁目,88,769,-,-,-,-,-,-,6,62,2,3,1,4,38,-,-,-,-,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,91,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,27,282,-,-,2,1,2,3,-,-,9,3,7,-,-,-,-,-,-,-,-,-,14,31,1,13,-,2,2,-,-,-,2,6,27,-,5,1,10,21,9,1,-,1,14,-,1,11,170,5,-,6,-,-,-,-,5,31,-,2,-,-,3,-,-,-
江原町三丁目,63,387,-,-,-,-,-,-,7,40,2,3,2,3,9,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,13,128,-,-,1,2,-,-,-,1,3,3,3,-,2,5,-,-,1,-,-,1,7,25,4,3,-,3,9,-,2,-,1,11,106,-,10,1,6,14,6,-,-,1,1,-,1,4,29,4,-,-,-,-,-,-,5,20,1,-,-,-,2,-,2,-
江古田総数,307,3506,1,1,-,-,-,-,21,95,7,6,8,15,67,2,-,5,1,-,-,2,1,-,-,1,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,3,-,-,1,-,1,14,344,-,8,5,-,-,-,1,-,86,472,-,-,4,9,4,6,-,4,21,3,29,6,4,9,-,1,1,-,-,2,32,76,3,29,-,11,30,-,4,2,5,23,175,-,17,6,26,122,18,6,2,7,86,3,4,44,1821,23,-,21,1,10,1,-,20,195,1,4,-,2,7,1,5,-
江古田一丁目,79,503,1,1,-,-,-,-,4,20,-,2,2,6,40,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,3,-,-,1,-,1,4,140,-,2,2,-,-,-,-,-,15,80,-,-,1,2,1,1,-,-,4,-,5,1,1,2,-,-,1,-,-,-,17,37,1,16,-,5,10,-,1,2,2,2,4,-,2,-,8,47,4,2,2,1,2,-,1,5,60,3,-,2,-,-,-,-,8,57,-,2,-,1,2,1,2,-
江古田二丁目,65,625,-,-,-,-,-,-,9,24,5,1,3,4,12,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,30,-,1,2,-,-,-,-,-,20,88,-,-,1,1,-,1,-,1,7,1,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,-,1,-,2,7,59,-,5,2,8,50,6,2,-,1,15,-,1,8,320,5,-,3,-,-,-,-,2,16,-,-,-,-,2,-,-,-
江古田三丁目,59,1300,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,-,-,-,-,-,-,19,99,-,-,1,1,1,-,-,2,6,-,7,1,1,2,-,1,-,-,-,-,4,7,-,4,-,-,-,-,-,-,-,5,80,-,3,2,3,7,3,-,-,2,27,2,-,16,1040,6,-,10,1,10,1,-,4,22,-,-,-,-,1,-,3,-
江古田四丁目,104,1078,-,-,-,-,-,-,8,51,2,3,3,3,11,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,172,-,3,1,-,-,-,1,-,32,205,-,-,1,5,2,4,-,1,4,2,11,2,2,5,-,-,-,-,-,2,11,32,2,9,-,3,9,-,2,-,1,9,32,-,7,2,7,18,5,2,-,3,42,1,2,15,401,9,-,6,-,-,-,-,6,100,1,2,-,1,2,-,-,-
丸山総数,124,1260,-,-,-,-,-,-,16,108,5,9,2,4,35,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,4,39,-,-,-,-,4,4,15,-,-,3,-,-,1,-,-,37,253,-,-,2,7,4,2,-,1,4,6,8,3,1,5,-,-,-,-,-,1,13,27,1,12,-,4,105,-,1,-,3,12,50,-,9,3,11,72,7,4,-,4,14,-,4,8,84,4,-,4,2,297,2,-,4,156,1,-,1,-,2,-,-,-
丸山一丁目,44,827,-,-,-,-,-,-,4,15,1,3,-,1,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,30,-,-,-,-,2,2,8,-,-,1,-,-,1,-,-,12,128,-,-,1,2,-,-,-,-,3,2,3,1,-,-,-,-,-,-,-,-,6,13,1,5,-,1,69,-,-,-,1,4,19,-,2,2,1,10,-,1,-,1,1,-,1,6,73,2,-,4,2,297,2,-,2,139,1,-,1,-,-,-,-,-
丸山二丁目,80,433,-,-,-,-,-,-,12,93,4,6,2,3,10,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,9,-,-,-,-,2,2,7,-,-,2,-,-,-,-,-,25,125,-,-,1,5,4,2,-,1,1,4,5,2,1,5,-,-,-,-,-,1,7,14,-,7,-,3,36,-,1,-,2,8,31,-,7,1,10,62,7,3,-,3,13,-,3,2,11,2,-,-,-,-,-,-,2,17,-,-,-,-,2,-,-,-
野方総数,693,3695,-,-,-,-,-,-,47,192,20,19,8,17,145,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,3,1,1,1,1,1,-,-,3,-,-,-,-,-,-,11,50,-,-,3,-,8,10,56,1,3,6,-,-,-,-,-,160,959,-,1,3,7,7,7,-,19,52,15,47,2,4,57,1,2,-,-,-,1,75,216,15,59,1,39,121,-,24,3,12,122,531,1,111,10,68,240,52,8,8,28,163,1,27,88,786,62,-,26,1,11,1,-,23,168,3,1,4,1,7,3,4,-
野方一丁目,103,573,-,-,-,-,-,-,11,63,4,5,2,3,14,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,8,-,-,-,-,3,7,37,-,3,4,-,-,-,-,-,26,205,-,-,-,-,3,4,-,-,9,1,9,-,-,-,-,-,-,-,-,-,9,18,2,7,-,13,48,-,9,1,3,10,37,-,8,2,8,33,6,2,-,-,-,-,-,8,98,6,-,2,-,-,-,-,5,12,1,-,-,-,1,1,2,-
野方二丁目,55,242,-,-,-,-,-,-,6,13,1,4,1,4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,21,-,-,1,-,1,1,8,-,-,1,-,-,-,-,-,13,89,-,-,2,1,2,-,-,-,4,2,2,-,1,2,-,-,-,-,-,1,14,29,1,13,-,3,12,-,1,2,-,2,17,-,2,-,3,4,3,-,-,3,6,-,3,3,27,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
野方三丁目,58,240,-,-,-,-,-,-,7,16,2,3,2,2,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,5,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,6,27,-,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,5,13,-,5,-,4,11,-,3,-,1,10,21,-,9,1,9,33,7,2,-,2,17,-,2,6,69,5,-,1,-,-,-,-,4,25,1,-,1,-,2,-,-,-
野方四丁目,64,505,-,-,-,-,-,-,11,56,6,3,2,3,79,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,34,-,-,-,2,1,1,-,-,-,1,3,-,-,-,-,-,-,-,-,-,17,53,3,14,-,5,16,-,2,-,3,-,-,-,-,-,1,1,1,-,-,3,25,-,3,10,131,5,-,5,-,-,-,-,6,110,-,-,1,1,4,-,-,-
野方五丁目,252,1234,-,-,-,-,-,-,6,24,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,-,-,-,-,-,65,286,-,1,1,2,1,1,-,15,20,6,17,1,1,28,1,-,-,-,-,-,15,69,8,7,-,5,21,-,5,-,-,82,369,1,76,5,27,102,20,1,6,11,79,1,10,34,232,26,-,8,1,11,1,-,4,7,-,1,1,-,-,1,1,-
野方六丁目,161,901,-,-,-,-,-,-,6,20,5,1,-,5,35,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,3,16,-,-,-,-,3,1,5,1,-,-,-,-,-,-,-,42,318,-,-,,2,-,1,-,4,16,5,13,1,2,27,-,2,-,-,-,-,15,34,1,13,1,9,13,-,4,-,5,18,87,-,16,2,20,67,15,3,2,9,36,-,9,27,229,19,-,8,-,-,-,-,4,14,1,-,1,-,-,1,1,-
大和町総数,394,1733,-,-,-,-,-,-,39,233,16,18,5,12,55,-,-,-,-,2,-,6,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,16,-,-,4,2,4,6,231,-,4,2,-,-,-,-,-,69,377,-,2,3,5,4,4,-,5,14,4,23,5,-,-,-,-,-,-,-,-,114,234,15,99,-,26,48,1,13,1,11,32,124,-,24,8,31,62,22,6,3,8,54,1,7,33,263,26,-,7,1,7,1,-,13,29,-,1,3,-,2,3,4,-
大和町一丁目,201,958,-,-,-,-,-,-,18,137,9,6,3,5,27,-,-,-,-,1,-,2,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,11,-,-,2,2,3,3,217,-,2,1,-,-,-,-,-,34,167,-,1,2,3,1,3,-,4,6,-,13,1,-,-,-,-,-,-,-,-,66,141,10,56,-,15,29,1,6,-,8,15,63,-,11,4,16,35,11,4,1,1,7,-,1,15,105,14,-,1,1,7,1,-,5,12,-,-,1,-,2,1,1,-
大和町二丁目,53,244,-,-,-,-,-,-,10,46,3,6,1,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,2,-,1,-,-,-,-,-,-,13,69,-,1,1,-,2,-,-,-,2,2,4,1,-,-,-,-,-,-,-,-,9,24,2,7,-,3,5,-,1,1,1,5,27,-,3,2,3,5,2,-,1,1,32,1,-,4,19,3,-,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-
大和町三丁目,85,313,-,-,-,-,-,-,5,33,1,4,-,4,13,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,-,-,1,1,-,-,1,-,-,-,-,-,18,100,-,-,-,1,1,1,-,1,4,2,6,2,-,-,-,-,-,-,-,-,25,39,2,23,-,4,5,-,2,-,2,6,14,-,6,-,7,12,6,1,-,-,-,-,-,9,73,7,-,2,-,-,-,-,4,9,-,-,2,-,-,2,-,-
